Team,Player,Transaction,Date
 Minnesota,Eddie Yarbrough (DE),Added DE Eddie Yarbrough to the practice squad.,12/14/2021
 N.Y. Giants,Pharoh Cooper (WR),Protected WR Pharoh Cooper.,12/14/2021
 N.Y. Giants,Woodrow Hamilton IV (DT),Added DT Woodrow Hamilton IV to the practice squad.,12/14/2021
 N.Y. Giants,Natrell Jamerson (DB),Protected DB Natrell Jamerson.,12/14/2021
 N.Y. Giants,David Moa (DT),Protected DT David Moa.,12/14/2021
 N.Y. Giants,Clayton Thorson (QB),Removed QB Clayton Thorson from the practice squad.,12/14/2021
 N.Y. Giants,Jarren Williams (DB),Protected DB Jarren Williams.,12/14/2021
 N.Y. Jets,Matt Ammendola (K),Protected K Matt Ammendola.,12/14/2021
 N.Y. Jets,Daniel Brown (TE),Protected TE Daniel Brown.,12/14/2021
 N.Y. Jets,Vyncint Smith (WR),Protected WR Vyncint Smith.,12/14/2021
 New England,Joshuah Bledsoe (S),Activated DB Joshuah Bledsoe from the non-football injury list.,12/14/2021
 New England,Kyle Dugger (DB),Activated DB Kyle Dugger from the IR/COVID-19 list.,12/14/2021
 New England,Calvin Munson (LB),Waived LB Calvin Munson.,12/14/2021
 New England,Josh Uche (LB),Placed LB Josh Uche on IR/Designated for Return list.,12/14/2021
 New Orleans,Josiah Bronson (DT),Waived DT Josiah Bronson.,12/14/2021
 New Orleans,Will Clapp (C),Cut C Will Clapp.,12/14/2021
 New Orleans,Dylan Mabin (DB),Removed DB Dylan Mabin from the practice squad.,12/14/2021
 Philadelphia,John Hightower (WR),Protected WR John Hightower.,12/14/2021
 Philadelphia,Cameron Malveaux (DE),Protected DE Cameron Malveaux.,12/14/2021
 Philadelphia,Jared Mayden (DB),Protected DB Jared Mayden.,12/14/2021
 Philadelphia,Mac McCain III (DB),Protected DB Mac McCain III.,12/14/2021
 Pittsburgh,Rashaad Coward (T),Protected T Rashaad Coward.,12/14/2021
 Pittsburgh,Isaiah Johnson (DB),Added DB Isaiah Johnson to the practice squad.,12/14/2021
 Pittsburgh,Karl Joseph (DB),Protected DB Karl Joseph.,12/14/2021
 Pittsburgh,Anthony Miller (WR),Protected WR Anthony Miller.,12/14/2021
 Pittsburgh,Jacob Tuioti-Mariner (LB),Protected LB Jacob Tuioti-Mariner.,12/14/2021
 San Francisco,Brian Hill (RB),Protected RB Brian Hill.,12/14/2021
 San Francisco,Nate Sudfeld (QB),Protected QB Nate Sudfeld.,12/14/2021
 San Francisco,Jarrod Wilson (DB),Protected DB Jarrod Wilson.,12/14/2021
 Tampa Bay,Giovani Bernard (RB),Placed RB Giovani Bernard on IR.,12/14/2021
 Tampa Bay,Jose Borregales (K),Protected K Jose Borregales.,12/14/2021
 Tampa Bay,Darren Fells (TE),Protected TE Darren Fells.,12/14/2021
 Tampa Bay,Sterling Hofrichter (P),Added P Sterling Hofrichter to the practice squad.,12/14/2021
 Tampa Bay,John Hurst (WR),Removed WR John Hurst from the practice squad.,12/14/2021
 Tampa Bay,Troy Warner (DB),Protected DB Troy Warner.,12/14/2021
 Tampa Bay,Blidi Wreh-Wilson (DB),Protected DB Blidi Wreh-Wilson.,12/14/2021
 Tennessee,Dez Fitzpatrick (WR),Placed WR Dez Fitzpatrick on IR/COVID-19 list.,12/14/2021
 Tennessee,Kevin Hogan (QB),Protected QB Kevin Hogan.,12/14/2021
 Tennessee,Cody Hollister (WR),Protected WR Cody Hollister.,12/14/2021
 Tennessee,Kevin Strong (DE),Protected DE Kevin Strong.,12/14/2021
 Tennessee,Jordan Wilkins (RB),Protected RB Jordan Wilkins.,12/14/2021
 Washington,Alex Armah (RB),Protected RB Alex Armah.,12/14/2021
 Washington,Kendall Fuller (CB),Placed DB Kendall Fuller on IR/COVID-19 list.,12/14/2021
 Washington,De'Jon Harris (LB),Protected LB De'Jon Harris.,12/14/2021
 Washington,Nolan Laufenberg (G),Protected G Nolan Laufenberg.,12/14/2021
 Washington,Hercules Mata'afa (DT),Added DT Hercules Mata'afa to the practice squad.,12/14/2021
 Washington,Nate Orchard (DE),Activated DE Nate Orchard from the practice squad.,12/14/2021
 Washington,Jeremy Reaves (DB),Activated DB Jeremy Reaves from the practice squad.,12/14/2021
 Washington,Darryl Roberts (CB),Activated DB Darryl Roberts from the IR/COVID-19 list.,12/14/2021
 Washington,Tim Settle (DT),Placed DT Tim Settle on IR/COVID-19 list.,12/14/2021
 Washington,Kyle Shurmur (QB),Protected QB Kyle Shurmur.,12/14/2021
 Arizona,Aaron Brewer (LS),Activated LS Aaron Brewer from the IR/Designated for return list.,12/13/2021
 Arizona,Rashard Lawrence (DT),Activated NT Rashard Lawrence from the IR/Designated for return list.,12/13/2021
 Atlanta,Emmanuel Ellerbee (LB),Placed LB Emmanuel Ellerbee on IR/COVID-19 list.,12/13/2021
 Atlanta,Shawn Williams (S),Reverted DB Shawn Williams to the practice squad.,12/13/2021
 Baltimore,Robert Jackson (CB),Reverted DB Robert Jackson to the practice squad.,12/13/2021
 Baltimore,David Sharpe (T),Reverted T David Sharpe to the practice squad.,12/13/2021
 Buffalo,Eli Ankou (DT),Reverted DT Eli Ankou to the practice squad.,12/13/2021
 Buffalo,Brandin Bryant (DT),Reverted DT Brandin Bryant to the practice squad.,12/13/2021
 Buffalo,Tyrel Dodson (LB),Placed LB Tyrel Dodson on IR/COVID-19 list.,12/13/2021
 Buffalo,Joe Giles-Harris (LB),Reverted LB Joe Giles-Harris to the practice squad.,12/13/2021
 Carolina,Reggie Bonnafon (RB),Reverted RB Reggie Bonnafon to the practice squad.,12/13/2021
 Carolina,Patrick Omameh (G),Reverted G Patrick Omameh to the practice squad.,12/13/2021
 Chicago,Mario Edwards Jr. (DL),Placed DT Mario Edwards Jr. on IR/COVID-19 list.,12/13/2021
 Chicago,Charles Snowden (DL),Reverted LB Charles Snowden to the practice squad.,12/13/2021
 Cincinnati,Austin Calitro (LB),Reverted LB Austin Calitro to the practice squad.,12/13/2021
 Cincinnati,Clay Johnston (LB),Placed LB Clay Johnston on IR/COVID-19 list.,12/13/2021
 Cincinnati,Keandre Jones (LB),Reverted LB Keandre Jones to the practice squad.,12/13/2021
 Cleveland,Ja'Marcus Bradley (WR),Cut WR Ja'Marcus Bradley.,12/13/2021
 Cleveland,Herb Miller (CB),Reverted DB Herb Miller to the practice squad.,12/13/2021
 Cleveland,Jovante Moffatt (S),Reverted DB Jovante Moffatt to the practice squad.,12/13/2021
 Cleveland,Jojo Natson (WR),Reverted WR Jojo Natson to the practice squad.,12/13/2021
 Dallas,Ian Bunting (TE),Reverted TE Ian Bunting to the practice squad.,12/13/2021
 Dallas,Justin Hamilton (DT),Cut DT Justin Hamilton.,12/13/2021
 Dallas,JaQuan Hardy (RB),Reverted RB JaQuan Hardy to the practice squad.,12/13/2021
 Dallas,Darian Thompson (S),Reverted DB Darian Thompson to the practice squad.,12/13/2021
 Dallas,Cedrick Wilson (WR),Placed WR Cedrick Wilson on IR/COVID-19 list.,12/13/2021
 Dallas,Nahshon Wright (CB),Activated DB Nahshon Wright from the IR/COVID-19 list.,12/13/2021
 Denver,Brett Jones (C),Activated C Brett Jones from the IR/COVID-19 list.,12/13/2021
 Detroit,Corey Ballentine (CB),Reverted DB Corey Ballentine to the practice squad.,12/13/2021
 Detroit,Curtis Bolton (LB),Reverted LB Curtis Bolton to the practice squad.,12/13/2021
 Detroit,Brady Breeze (DB),Acquired DB Brady Breeze off waivers from the Tennessee Titans.,12/13/2021
 Detroit,Bruce Hector (DT),Reverted DT Bruce Hector to the practice squad.,12/13/2021
 Detroit,Jerry Jacobs (CB),Placed DB Jerry Jacobs on IR.,12/13/2021
 Detroit,Parnell Motley (CB),Reverted DB Parnell Motley to the practice squad.,12/13/2021
 Detroit,Craig Reynolds (RB),Reverted RB Craig Reynolds to the practice squad.,12/13/2021
 Detroit,Nickell Robey-Coleman (DB),Reverted DB Nickell Robey-Coleman to the practice squad.,12/13/2021
 Detroit,Shane Zylstra (TE),Reverted TE Shane Zylstra to the practice squad.,12/13/2021
 Green Bay,Kurt Benkert (QB),Reverted QB Kurt Benkert to the practice squad.,12/13/2021
 Green Bay,Danny Etling (QB),Removed QB Danny Etling from the practice squad.,12/13/2021
 Houston,Grayland Arnold (DB),Reverted DB Grayland Arnold to the practice squad.,12/13/2021
 Houston,Kamu Grugier-Hill (LB),Placed LB Kamu Grugier-Hill on IR/COVID-19 list.,12/13/2021
 Houston,David Johnson (RB),Activated RB David Johnson from the IR/COVID-19 list.,12/13/2021
 Houston,David Johnson (RB),Placed RB David Johnson on IR/COVID-19 list.,12/13/2021
 Houston,Chris Smith (LB),Reverted LB Chris Smith to the practice squad.,12/13/2021
 Indianapolis,Zaire Franklin (LB),Placed LB Zaire Franklin on IR/COVID-19 list.,12/13/2021
 Kansas City,Dicaprio Bootle (DB),Reverted DB Dicaprio Bootle to the practice squad.,12/13/2021
 Kansas City,Josh Gordon (WR),Placed WR Josh Gordon on IR/COVID-19 list.,12/13/2021
 Kansas City,Josh Jackson (CB),Reverted DB Josh Jackson to the practice squad.,12/13/2021
 L.A. Chargers,Ben DeLuca (DB),Reverted DB Ben DeLuca to the practice squad.,12/13/2021
 L.A. Chargers,Emeke Egbule (LB),Reverted LB Emeke Egbule to the practice squad.,12/13/2021
 L.A. Chargers,Jason Moore (WR),Reverted WR Jason Moore to the practice squad.,12/13/2021
 L.A. Chargers,Rashawn Slater (T),Placed T Rashawn Slater on IR/COVID-19 list.,12/13/2021
 L.A. Rams,Dont'e Deayon (CB),Placed DB Dont'e Deayon on IR/COVID-19 list.,12/13/2021
 L.A. Rams,Grant Haley (DB),Activated DB Grant Haley from the practice squad.,12/13/2021
 L.A. Rams,Rob Havenstein (OL),Placed T Rob Havenstein on IR/COVID-19 list.,12/13/2021
 L.A. Rams,Javian Hawkins (RB),Activated RB Javian Hawkins from the practice squad.,12/13/2021
 L.A. Rams,Tyler Higbee (TE),Placed TE Tyler Higbee on IR/COVID-19 list.,12/13/2021
 L.A. Rams,Justin Hollins (LB),Activated LB Justin Hollins from the IR/Designated for return list.,12/13/2021
 L.A. Rams,Jeremiah Kolone (G),Activated G Jeremiah Kolone from the practice squad.,12/13/2021
 L.A. Rams,Kareem Orr (DB),Activated DB Kareem Orr from the practice squad.,12/13/2021
 L.A. Rams,Jared Pinkney (TE),Activated TE Jared Pinkney from the practice squad.,12/13/2021
 L.A. Rams,Brandon Powell (WR),Activated WR Brandon Powell from the practice squad.,12/13/2021
 L.A. Rams,Jalen Ramsey (CB),Placed DB Jalen Ramsey on IR/COVID-19 list.,12/13/2021
 Las Vegas,Tyron Johnson (WR),Reverted WR Tyron Johnson to the practice squad.,12/13/2021
 Las Vegas,Trey Ragas (RB),Reverted RB Trey Ragas to the practice squad.,12/13/2021
 Las Vegas,Damion Square (NT),Cut NT Damion Square.,12/13/2021
 Las Vegas,Javin White (LB),Reverted LB Javin White to the practice squad.,12/13/2021
 Miami,Travis Fulgham (WR),Removed WR Travis Fulgham from the practice squad.,12/13/2021
 Miami,Jevon Holland (S),Placed DB Jevon Holland on IR/COVID-19 list.,12/13/2021
 Miami,Duke Johnson (RB),Activated RB Duke Johnson from the practice squad.,12/13/2021
 Miami,Tommylee Lewis (WR),Added WR Tommylee Lewis to the practice squad.,12/13/2021
 Miami,Phillip Lindsay (RB),Placed RB Phillip Lindsay on IR/COVID-19 list.,12/13/2021
 Miami,Dexter Williams (RB),Added RB Dexter Williams to the practice squad.,12/13/2021
 Minnesota,Dan Chisena (WR),Placed WR Dan Chisena on IR/COVID-19 list.,12/13/2021
 Minnesota,Ryan Connelly (LB),Placed LB Ryan Connelly on IR.,12/13/2021
 Minnesota,Wayne Gallman (RB),Acquired RB Wayne Gallman off waivers from the Atlanta Falcons.,12/13/2021
 Minnesota,Bisi Johnson (WR),Activated WR Bisi Johnson from the IR/COVID-19 list.,12/13/2021
 Minnesota,Alexander Mattison (RB),Placed RB Alexander Mattison on IR/COVID-19 list.,12/13/2021
 N.Y. Giants,Pharoh Cooper (WR),Reverted WR Pharoh Cooper to the practice squad.,12/13/2021
 N.Y. Giants,Kyle Murphy (OL),Activated T Kyle Murphy from the IR/COVID-19 list.,12/13/2021
 N.Y. Giants,Kadarius Toney (WR),Placed WR Kadarius Toney on IR/COVID-19 list.,12/13/2021
 N.Y. Giants,Jarren Williams (CB),Reverted DB Jarren Williams to the practice squad.,12/13/2021
 N.Y. Jets,Ronald Blair III (DL),Reverted DE Ronald Blair III to the practice squad.,12/13/2021
 N.Y. Jets,Daniel Brown (TE),Reverted TE Daniel Brown to the practice squad.,12/13/2021
 N.Y. Jets,Justin Hardee (CB),Placed DB Justin Hardee on IR/COVID-19 list.,12/13/2021
 N.Y. Jets,D.J. Montgomery (WR),Reverted WR D.J. Montgomery to the practice squad.,12/13/2021
 N.Y. Jets,Vyncint Smith (WR),Reverted WR Vyncint Smith to the practice squad.,12/13/2021
 New England,Dalton Keene (TE),Placed TE Dalton Keene on IR/COVID-19 list.,12/13/2021
 New Orleans,James Carpenter (T),Reverted G James Carpenter to the practice squad.,12/13/2021
 New Orleans,Will Clapp (C),Waived C Will Clapp.,12/13/2021
 New Orleans,Chase Hansen (LB),Reverted LB Chase Hansen to the practice squad.,12/13/2021
 New Orleans,Kevin White (WR),Reverted WR Kevin White to the practice squad.,12/13/2021
 New Orleans,Easop Winston (WR),Reverted WR Easop Winston to the practice squad.,12/13/2021
 New Orleans,Ethan Wolf (TE),Reverted TE Ethan Wolf to the practice squad.,12/13/2021
 Philadelphia,Mac McCain III (DB),Added DB Mac McCain III to the practice squad.,12/13/2021
 Philadelphia,Quez Watkins (WR),Placed WR Quez Watkins on IR/COVID-19 list.,12/13/2021
 Pittsburgh,Joe Haeg (T),Activated T Joe Haeg from the IR/COVID-19 list.,12/13/2021
 Pittsburgh,John Simon (DE),Added DE John Simon to the practice squad.,12/13/2021
 Pittsburgh,Samuel Sloman (K),Removed K Samuel Sloman from the practice squad.,12/13/2021
 San Francisco,Brian Hill (RB),Reverted RB Brian Hill to the practice squad.,12/13/2021
 San Francisco,Saivion Smith (DB),Waived DB Saivion Smith.,12/13/2021
 San Francisco,Jarrod Wilson (DB),Reverted DB Jarrod Wilson to the practice squad.,12/13/2021
 Seattle,Edmond Robinson (LB),Reverted LB Edmond Robinson to the practice squad.,12/13/2021
 Tampa Bay,Garrison Sanborn (LS),Removed LS Garrison Sanborn from the practice squad.,12/13/2021
 Tennessee,Cody Hollister (WR),Reverted WR Cody Hollister to the practice squad.,12/13/2021
 Tennessee,Kevin Strong (DT),Reverted DE Kevin Strong to the practice squad.,12/13/2021
 Washington,Jonathan Allen (DT),Placed DT Jonathan Allen on IR/COVID-19 list.,12/13/2021
 Washington,Will Bradley-King (DE),Reverted DE Will Bradley-King to the practice squad.,12/13/2021
 Washington,Jamil Douglas (G),Acquired G Jamil Douglas off waivers from the Buffalo Bills.,12/13/2021
 Washington,De'Jon Harris (LB),Reverted LB De'Jon Harris to the practice squad.,12/13/2021
 Washington,David Mayo (LB),Placed LB David Mayo on IR/COVID-19 list.,12/13/2021
 Washington,Jeremy Reaves (DB),Reverted DB Jeremy Reaves to the practice squad.,12/13/2021
 Washington,Casey Toohill (DE),Placed DE Casey Toohill on IR/COVID-19 list.,12/13/2021
 Atlanta,Wayne Gallman (RB),Waived RB Wayne Gallman.,12/11/2021
 Atlanta,Hayden Hurst (TE),Activated TE Hayden Hurst from the IR/Designated for return list.,12/11/2021
 Atlanta,Qadree Ollison (RB),Signed RB Qadree Ollison.,12/11/2021
 Atlanta,Shawn Williams (DB),Activated DB Shawn Williams from the practice squad.,12/11/2021
 Baltimore,Robert Jackson (DB),Activated DB Robert Jackson from the practice squad.,12/11/2021
 Baltimore,David Sharpe (T),Activated T David Sharpe from the practice squad.,12/11/2021
 Buffalo,Eli Ankou (DT),Activated DT Eli Ankou from the practice squad.,12/11/2021
 Buffalo,Brandin Bryant (DT),Activated DT Brandin Bryant from the practice squad.,12/11/2021
 Buffalo,Jamil Douglas (OL),Waived G Jamil Douglas.,12/11/2021
 Buffalo,Jon Feliciano (G),Activated G Jon Feliciano from the IR/Designated for return list.,12/11/2021
 Buffalo,Joe Giles-Harris (LB),Activated LB Joe Giles-Harris from the practice squad.,12/11/2021
 Carolina,Reggie Bonnafon (RB),Activated RB Reggie Bonnafon from the practice squad.,12/11/2021
 Carolina,Cameron Erving (T),Activated T Cameron Erving from the IR/Designated for return list.,12/11/2021
 Carolina,Frankie Luvu (LB),Activated LB Frankie Luvu from the IR/COVID-19 list.,12/11/2021
 Carolina,Patrick Omameh (G),Activated G Patrick Omameh from the practice squad.,12/11/2021
 Chicago,Charles Snowden (LB),Activated LB Charles Snowden from the practice squad.,12/11/2021
 Cincinnati,Austin Calitro (LB),Activated LB Austin Calitro from the practice squad.,12/11/2021
 Cincinnati,Keandre Jones (LB),Activated LB Keandre Jones from the practice squad.,12/11/2021
 Cleveland,Ja'Marcus Bradley (WR),Waived WR Ja'Marcus Bradley.,12/11/2021
 Cleveland,Herb Miller (DB),Activated DB Herb Miller from the practice squad.,12/11/2021
 Cleveland,Jovante Moffatt (DB),Activated DB Jovante Moffatt from the practice squad.,12/11/2021
 Cleveland,Jojo Natson (WR),Activated WR Jojo Natson from the practice squad.,12/11/2021
 Cleveland,Jacob Phillips (LB),Activated LB Jacob Phillips from the IR/Designated for return list.,12/11/2021
 Dallas,Ian Bunting (TE),Activated TE Ian Bunting from the practice squad.,12/11/2021
 Dallas,Neville Gallimore (DT),Activated DT Neville Gallimore from the IR/Designated for return list.,12/11/2021
 Dallas,Randy Gregory (DE),Activated DE Randy Gregory from the IR/Designated for return list.,12/11/2021
 Dallas,Justin Hamilton (DT),Waived DT Justin Hamilton.,12/11/2021
 Dallas,JaQuan Hardy (RB),Activated RB JaQuan Hardy from the practice squad.,12/11/2021
 Dallas,Darian Thompson (DB),Activated DB Darian Thompson from the practice squad.,12/11/2021
 Denver,Bryce Callahan (CB),Activated DB Bryce Callahan from the IR/Designated for return list.,12/11/2021
 Denver,Micah Kiser (LB),Activated LB Micah Kiser from the IR/Designated for return list.,12/11/2021
 Denver,Michael Ojemudia (CB),Activated DB Michael Ojemudia from the IR/Designated for return list.,12/11/2021
 Denver,Malik Reed (LB),Placed LB Malik Reed on IR/COVID-19 list.,12/11/2021
 Detroit,Corey Ballentine (DB),Activated DB Corey Ballentine from the practice squad.,12/11/2021
 Detroit,Curtis Bolton (LB),Activated LB Curtis Bolton from the practice squad.,12/11/2021
 Detroit,Mark Gilbert (CB),Placed DB Mark Gilbert on IR/COVID-19 list.,12/11/2021
 Detroit,Bruce Hector (DT),Activated DT Bruce Hector from the practice squad.,12/11/2021
 Detroit,Ifeatu Melifonwu (DB),Placed DB Ifeatu Melifonwu on IR/COVID-19 list.,12/11/2021
 Detroit,Parnell Motley (DB),Activated DB Parnell Motley from the practice squad.,12/11/2021
 Detroit,Darrin Paulo (T),Removed T Darrin Paulo from the practice squad.,12/11/2021
 Detroit,Craig Reynolds (RB),Activated RB Craig Reynolds from the practice squad.,12/11/2021
 Detroit,Nickell Robey-Coleman (DB),Activated DB Nickell Robey-Coleman from the practice squad.,12/11/2021
 Detroit,Rodney Smith Jr. (RB),Added RB Rodney Smith Jr. to the practice squad.,12/11/2021
 Detroit,Shane Zylstra (TE),Activated TE Shane Zylstra from the practice squad.,12/11/2021
 Green Bay,Randall Cobb (WR),Placed WR Randall Cobb on IR.,12/11/2021
 Houston,Grayland Arnold (DB),Activated DB Grayland Arnold from the practice squad.,12/11/2021
 Houston,Phillip Dorsett II (WR),Signed WR Phillip Dorsett II.,12/11/2021
 Houston,Damon Hazelton (WR),Added WR Damon Hazelton to the practice squad.,12/11/2021
 Houston,Chris Smith (LB),Activated LB Chris Smith from the practice squad.,12/11/2021
 Kansas City,Dicaprio Bootle (DB),Activated DB Dicaprio Bootle from the practice squad.,12/11/2021
 Kansas City,Josh Jackson (DB),Activated DB Josh Jackson from the practice squad.,12/11/2021
 Kansas City,Chris Lammons (DB),Placed DB Chris Lammons on IR.,12/11/2021
 L.A. Chargers,Ben DeLuca (DB),Activated DB Ben DeLuca from the practice squad.,12/11/2021
 L.A. Chargers,Emeke Egbule (LB),Activated LB Emeke Egbule from the practice squad.,12/11/2021
 L.A. Chargers,Kyler Fackrell (LB),Placed LB Kyler Fackrell on IR.,12/11/2021
 L.A. Chargers,Chris Harris Jr. (CB),Activated DB Chris Harris Jr. from the IR/COVID-19 list.,12/11/2021
 L.A. Chargers,Jason Moore (WR),Activated WR Jason Moore from the practice squad.,12/11/2021
 L.A. Chargers,Mike Williams (WR),Activated WR Mike Williams from the IR/COVID-19 list.,12/11/2021
 L.A. Rams,Darrell Henderson Jr. (RB),Placed RB Darrell Henderson Jr. on IR/COVID-19 list.,12/11/2021
 L.A. Rams,Robert Rochell (DB),Placed DB Robert Rochell on IR.,12/11/2021
 Las Vegas,Will Compton (LB),Signed LB Will Compton.,12/11/2021
 Las Vegas,Tyron Johnson (WR),Activated WR Tyron Johnson from the practice squad.,12/11/2021
 Las Vegas,Trayvon Mullen (CB),Activated DB Trayvon Mullen from the IR/Designated for return list.,12/11/2021
 Las Vegas,Darius Philon (DT),Activated DT Darius Philon from the IR/Designated for return list.,12/11/2021
 Las Vegas,Trey Ragas (RB),Activated RB Trey Ragas from the practice squad.,12/11/2021
 Las Vegas,Damion Square (NT),Waived NT Damion Square.,12/11/2021
 Las Vegas,Javin White (LB),Activated LB Javin White from the practice squad.,12/11/2021
 Miami,Salvon Ahmed (RB),Placed RB Salvon Ahmed on IR/COVID-19 list.,12/11/2021
 N.Y. Giants,Pharoh Cooper (WR),Activated WR Pharoh Cooper from the practice squad.,12/11/2021
 N.Y. Giants,Jarren Williams (DB),Activated DB Jarren Williams from the practice squad.,12/11/2021
 N.Y. Jets,Ronald Blair III (DE),Activated DE Ronald Blair III from the practice squad.,12/11/2021
 N.Y. Jets,Daniel Brown (TE),Activated TE Daniel Brown from the practice squad.,12/11/2021
 N.Y. Jets,Brandin Echols (CB),Activated DB Brandin Echols from the IR/Designated for return list.,12/11/2021
 N.Y. Jets,D.J. Montgomery (WR),Activated WR D.J. Montgomery from the practice squad.,12/11/2021
 N.Y. Jets,Elijah Moore (WR),Placed WR Elijah Moore on IR.,12/11/2021
 N.Y. Jets,Vyncint Smith (WR),Activated WR Vyncint Smith from the practice squad.,12/11/2021
 New Orleans,James Carpenter (G),Activated G James Carpenter from the practice squad.,12/11/2021
 New Orleans,C.J. Gardner-Johnson (S),Activated DB C.J. Gardner-Johnson from the IR/Designated for return list.,12/11/2021
 New Orleans,Chase Hansen (LB),Activated LB Chase Hansen from the practice squad.,12/11/2021
 New Orleans,Kevin White (WR),Activated WR Kevin White from the practice squad.,12/11/2021
 New Orleans,Easop Winston (WR),Activated WR Easop Winston from the practice squad.,12/11/2021
 New Orleans,Ethan Wolf (TE),Activated TE Ethan Wolf from the practice squad.,12/11/2021
 San Francisco,Trenton Cannon (RB),Placed RB Trenton Cannon on IR.,12/11/2021
 San Francisco,River Cracraft (WR),Signed WR River Cracraft.,12/11/2021
 San Francisco,Brian Hill (RB),Activated RB Brian Hill from the practice squad.,12/11/2021
 San Francisco,Emmanuel Moseley (CB),Placed DB Emmanuel Moseley on IR.,12/11/2021
 San Francisco,Saivion Smith (DB),Signed DB Saivion Smith.,12/11/2021
 San Francisco,Jarrod Wilson (DB),Activated DB Jarrod Wilson from the practice squad.,12/11/2021
 Seattle,Jamal Adams (S),Placed DB Jamal Adams on IR.,12/11/2021
 Seattle,Gavin Heslop (DB),Signed DB Gavin Heslop.,12/11/2021
 Seattle,Edmond Robinson (LB),Activated LB Edmond Robinson from the practice squad.,12/11/2021
 Tennessee,Brady Breeze (S),Waived DB Brady Breeze.,12/11/2021
 Tennessee,Dane Cruikshank (DB),Activated DB Dane Cruikshank from the IR/Designated for return list.,12/11/2021
 Tennessee,Cody Hollister (WR),Activated WR Cody Hollister from the practice squad.,12/11/2021
 Tennessee,Tommy Hudson (TE),Placed TE Tommy Hudson on IR.,12/11/2021
 Tennessee,Julio Jones (WR),Activated WR Julio Jones from the IR/Designated for return list.,12/11/2021
 Tennessee,Racey McMath (WR),Activated WR Racey McMath from the IR/Designated for return list.,12/11/2021
 Tennessee,Kevin Strong (DT),Activated DT Kevin Strong from the practice squad.,12/11/2021
 Washington,Will Bradley-King (DE),Activated DE Will Bradley-King from the practice squad.,12/11/2021
 Washington,Lirim Hajrullahu (K),Added K Lirim Hajrullahu to the practice squad.,12/11/2021
 Washington,De'Jon Harris (LB),Activated LB De'Jon Harris from the practice squad.,12/11/2021
 Washington,Jeremy Reaves (DB),Activated DB Jeremy Reaves from the practice squad.,12/11/2021
 Washington,Darryl Roberts (CB),Placed DB Darryl Roberts on IR/COVID-19 list.,12/11/2021
 Washington,Wes Schweitzer (G),Placed G Wes Schweitzer on IR.,12/11/2021
 Washington,James Smith-Williams (DE),Placed DE James Smith-Williams on IR/COVID-19 list.,12/11/2021
 Washington,Jon Toth (C),Signed C Jon Toth.,12/11/2021
 Chicago,Bruce Irvin (LB),Signed LB Bruce Irvin.,12/10/2021
 Chicago,Cassius Marsh Sr. (LB),Placed LB Cassius Marsh Sr. on IR.,12/10/2021
 Cleveland,Dustin Colquitt (P),Signed P Dustin Colquitt.,12/10/2021
 Denver,Mike Boone (RB),Placed RB Mike Boone on IR/COVID-19 list.,12/10/2021
 Denver,P.J. Locke (S),Placed DB P.J. Locke on IR/COVID-19 list.,12/10/2021
 Detroit,Tracy Walker (DB),Placed DB Tracy Walker on IR/COVID-19 list.,12/10/2021
 Detroit,Jamaal Williams (RB),Placed RB Jamaal Williams on IR/COVID-19 list.,12/10/2021
 Green Bay,De'Vondre Campbell (LB),Activated LB De'Vondre Campbell from the IR/COVID-19 list.,12/10/2021
 Kansas City,Jody Fortson (WR),Placed TE Jody Fortson on IR/COVID-19 list.,12/10/2021
 Las Vegas,Carson Tinker (LS),Cut LS Carson Tinker.,12/10/2021
 Miami,Myles Gaskin (RB),Placed RB Myles Gaskin on IR/COVID-19 list.,12/10/2021
 Minnesota,Tuf Borland (LB),Reverted LB Tuf Borland to the practice squad.,12/10/2021
 Minnesota,Kenny Willekes (DE),Reverted DE Kenny Willekes.,12/10/2021
 N.Y. Jets,Jeff Smith (WR),Placed WR Jeff Smith on IR/COVID-19 list.,12/10/2021
 New Orleans,Kenny Stills (WR),Signed WR Kenny Stills.,12/10/2021
 Pittsburgh,Drue Chrisman (P),Removed P Drue Chrisman from the practice squad.,12/10/2021
 Pittsburgh,Rashaad Coward (OL),Reverted T Rashaad Coward to the practice squad.,12/10/2021
 Pittsburgh,Chaz Green (T),Reverted T Chaz Green to the practice squad.,12/10/2021
 Pittsburgh,Linden Stephens (DB),Added DB Linden Stephens to the practice squad.,12/10/2021
 Pittsburgh,Rex Sunahara (LS),Removed LS Rex Sunahara from the practice squad.,12/10/2021
 Pittsburgh,Tyler Vaughns (WR),Added WR Tyler Vaughns to the practice squad.,12/10/2021
 Tampa Bay,Richard Sherman (DB),Activated DB Richard Sherman from the IR/Designated for return list.,12/10/2021
 Tampa Bay,Zach Triner (LS),Activated LS Zach Triner from the IR/COVID-19 list.,12/10/2021
 Washington,Khaleke Hudson (LB),Placed LB Khaleke Hudson on IR/COVID-19 list.,12/10/2021
 Arizona,Aaron Brewer (LS),Placed LS Aaron Brewer on IR/Designated for Return list.,12/9/2021
 Arizona,Chase Edmonds (RB),Placed RB Chase Edmonds on IR/Designated for Return list.,12/9/2021
 Arizona,Tavien Feaster (RB),Added RB Tavien Feaster to the practice squad.,12/9/2021
 Arizona,Jonathan Ward (RB),Activated RB Jonathan Ward from the IR/COVID-19 list.,12/9/2021
